CUDA extension not installed.
Starting ...
Ready.
0 self_attn.k_proj
Quantizing ...
time 4.25
error 1522.40673828125
0 self_attn.v_proj
Quantizing ...
time 3.05
error 77.58714294433594
0 self_attn.q_proj
Quantizing ...
time 3.05
error 989.1505737304688
0 self_attn.o_proj
Quantizing ...
time 3.79
error 22.308937072753906
0 mlp.up_proj
Quantizing ...
time 4.16
error 300.7278137207031
0 mlp.gate_proj
Quantizing ...
time 3.13
error 346.71954345703125
0 mlp.down_proj
Quantizing ...
time 13.25
error 68.93659973144531
1 self_attn.k_proj
Quantizing ...
time 4.26
error 4478.75146484375
1 self_attn.v_proj
Quantizing ...
time 2.93
error 432.7464904785156
1 self_attn.q_proj
Quantizing ...
time 3.00
error 3700.29541015625
1 self_attn.o_proj
Quantizing ...
time 3.79
error 154.4881591796875
1 mlp.up_proj
Quantizing ...
time 4.17
error 3751.65478515625
1 mlp.gate_proj
Quantizing ...
time 3.12
error 4526.08154296875
1 mlp.down_proj
Quantizing ...
time 13.24
error 659.3826904296875
2 self_attn.k_proj
Quantizing ...
time 4.27
error 9957.541015625
2 self_attn.v_proj
Quantizing ...
time 3.05
error 1291.012451171875
2 self_attn.q_proj
Quantizing ...
time 3.04
error 7199.93603515625
2 self_attn.o_proj
Quantizing ...
time 3.80
error 459.481689453125
2 mlp.up_proj
Quantizing ...
time 4.18
error 14255.58203125
2 mlp.gate_proj
Quantizing ...
time 3.14
error 17173.546875
2 mlp.down_proj
Quantizing ...
time 13.25
error 10995.07421875
3 self_attn.k_proj
Quantizing ...
time 4.28
error 45276.5625
3 self_attn.v_proj
Quantizing ...
time 3.05
error 15189.41015625
3 self_attn.q_proj
Quantizing ...
time 2.95
error 40569.953125
3 self_attn.o_proj
Quantizing ...
time 3.78
error 640.6010131835938
3 mlp.up_proj
Quantizing ...
time 4.14
error 30328.2265625
3 mlp.gate_proj
Quantizing ...
time 3.13
error 35575.515625
3 mlp.down_proj
Quantizing ...
time 13.28
error 2651.001953125
4 self_attn.k_proj
Quantizing ...
time 4.23
error 62772.5390625
4 self_attn.v_proj
Quantizing ...
time 3.02
error 23825.15625
4 self_attn.q_proj
Quantizing ...
time 3.03
error 56262.171875
4 self_attn.o_proj
Quantizing ...
time 3.74
error 793.3055419921875
4 mlp.up_proj
Quantizing ...
time 4.18
error 46765.296875
4 mlp.gate_proj
Quantizing ...
time 3.08
error 53702.87109375
4 mlp.down_proj
Quantizing ...
time 13.32
error 3968.253662109375
5 self_attn.k_proj
Quantizing ...
time 4.24
error 82857.703125
5 self_attn.v_proj
Quantizing ...
time 3.01
error 32261.76953125
5 self_attn.q_proj
Quantizing ...
time 2.96
error 72303.296875
5 self_attn.o_proj
Quantizing ...
time 3.77
error 1652.3287353515625
5 mlp.up_proj
Quantizing ...
time 4.15
error 64792.73828125
5 mlp.gate_proj
Quantizing ...
time 3.12
error 74804.1328125
5 mlp.down_proj
Quantizing ...
time 13.24
error 6140.59326171875
6 self_attn.k_proj
Quantizing ...
time 4.25
error 100601.875
6 self_attn.v_proj
Quantizing ...
time 3.03
error 42497.40234375
6 self_attn.q_proj
Quantizing ...
time 3.02
error 86330.34375
6 self_attn.o_proj
Quantizing ...
time 3.73
error 1468.10107421875
6 mlp.up_proj
Quantizing ...
time 4.16
error 87549.3828125
6 mlp.gate_proj
Quantizing ...
